name,ssn,salary,awards,tax_paid,eligible_for_pay_raise
ajay,61301,30000,2,yes,yes
aman,61302,40000,1,yes,no
alok,61303,45000,2,yes,yes
bhavya,61304,55000,4,no,no
divya,61305,30000,3,yes,yes
abhishek,61306,43000,2,no,no
subham,61307,25000,1,yes,no
saini,61308,69000,3,yes,yes
sanket,61309,30000,2,no,yes
supriya,61310,35000,1,yes,no
mishra,61311,42000,3,yes,yes
kaushal,61312,37000,2,no,yes
mallya,61313,28000,2,yes,no
sujan,61314,30000,2,yes,yes
mukund,61315,29000,1,no,no
kshitija,61316,54000,0,yes,no
pandey,61317,30000,0,no,no
rajan,61318,55000,1,yes,no
skrikant,61319,26000,1,yes,no
talpade,61320,30000,1,no,no
raji,61321,30000,2,no,yes
saumya,61322,40000,2,no,yes
pallavi,61323,48000,3,yes,yes
shreya,61324,39000,4,no,yes
vaibhav,61325,60000,4,yes,yes
